,ECO,OIL,SP500,PSE,RATE
2011-11-09,58.49,95.73999786376953,1229.0999755859375,1099.5899658203125,0.01
2011-11-16,57.43,102.58999633789062,1236.9100341796875,1118.8699951171875,0.01
2011-11-23,52.18,96.16999816894531,1161.7900390625,1030.739990234375,0.02
2011-11-30,56.33,100.36000061035156,1246.9599609375,1099.780029296875,0.01
2011-12-07,56.64,100.48999786376953,1261.010009765625,1107.06005859375,0.02
2011-12-14,50.46,94.94999694824219,1211.8199462890625,1054.6300048828125,0.01
2011-12-21,51.61,98.66999816894531,1243.719970703125,1059.9100341796875,0.01
2011-12-28,51.31,99.36000061035156,1249.6400146484375,1071.27001953125,0.01
2012-01-04,53.3,103.22000122070312,1277.300048828125,1082.56005859375,0.02
2012-01-11,58.31,100.87000274658203,1292.47998046875,1112.7099609375,0.02
2012-01-18,60.25,100.58999633789062,1308.0400390625,1141.1400146484375,0.03
2012-01-25,59.1,99.4000015258789,1326.06005859375,1177.260009765625,0.04
2012-02-01,60.01,97.61000061035156,1324.0899658203125,1192.760009765625,0.06
2012-02-08,64.0,98.70999908447266,1349.9599609375,1223.1500244140625,0.09
2012-02-15,60.95,101.80000305175781,1343.22998046875,1229.2099609375,0.11
2012-02-22,62.67,106.27999877929688,1357.6600341796875,1230.81005859375,0.09
2012-02-29,58.58,107.06999969482422,1365.6800537109375,1246.9200439453125,0.08
2012-03-07,54.88,106.16000366210938,1352.6300048828125,1227.9300537109375,0.08
2012-03-14,57.95,105.43000030517578,1394.280029296875,1278.5699462890625,0.09
2012-03-21,58.41,107.2699966430664,1402.8900146484375,1288.6700439453125,0.09
2012-03-28,56.98,105.41000366210938,1405.5400390625,1302.0,0.09
2012-04-04,54.04,101.47000122070312,1398.9599609375,1295.300048828125,0.08
2012-04-11,53.07,102.69999694824219,1368.7099609375,1264.8800048828125,0.09
2012-04-18,52.59,102.66999816894531,1385.1400146484375,1272.8800048828125,0.07
2012-04-25,51.49,104.12000274658203,1390.68994140625,1268.4200439453125,0.09
2012-05-02,52.34,105.22000122070312,1402.31005859375,1278.0999755859375,0.08
2012-05-09,48.49,96.80999755859375,1354.5799560546875,1226.9100341796875,0.09
2012-05-16,45.46,92.80999755859375,1324.800048828125,1189.469970703125,0.1
2012-05-23,43.5,89.9000015258789,1318.8599853515625,1186.5,0.09
2012-05-30,43.12,87.81999969482422,1313.3199462890625,1172.3599853515625,0.07
2012-06-06,43.56,85.0199966430664,1315.1300048828125,1181.699951171875,0.09
2012-06-13,42.91,82.62000274658203,1314.8800048828125,1164.81005859375,0.1
2012-06-20,46.44,81.80000305175781,1355.68994140625,1211.93994140625,0.09
2012-06-27,45.38,80.20999908447266,1331.8499755859375,1186.1700439453125,0.09
2012-07-04,47.47,87.66000366210938,1374.02001953125,1224.449951171875,0.09
2012-07-11,44.21,85.80999755859375,1341.449951171875,1161.8900146484375,0.1
2012-07-18,43.77,89.87000274658203,1372.780029296875,1201.8900146484375,0.09
2012-07-25,41.12,88.97000122070312,1337.8900146484375,1179.4200439453125,0.1
2012-08-01,40.62,88.91000366210938,1375.3199462890625,1206.6199951171875,0.1
2012-08-08,43.37,93.3499984741211,1402.219970703125,1254.0699462890625,0.11
2012-08-15,43.88,94.33000183105469,1405.530029296875,1264.02001953125,0.09
2012-08-22,44.83,97.26000213623047,1413.489990234375,1272.47998046875,0.11
2012-08-29,43.95,95.48999786376953,1410.489990234375,1267.8399658203125,0.12
2012-09-05,42.5,95.36000061035156,1403.43994140625,1260.8299560546875,0.11
2012-09-12,44.83,97.01000213623047,1436.56005859375,1291.4200439453125,0.1
2012-09-19,46.08,91.9800033569336,1461.050048828125,1312.030029296875,0.11
2012-09-26,43.0,89.9800033569336,1433.3199462890625,1275.260009765625,0.11
2012-10-03,42.43,88.13999938964844,1450.989990234375,1291.8800048828125,0.09
2012-10-10,41.48,91.25,1432.56005859375,1251.0799560546875,0.1
2012-10-17,42.71,92.12000274658203,1460.9100341796875,1268.8699951171875,0.11
2012-10-24,40.57,85.7300033569336,1408.75,1227.1400146484375,0.11
2012-10-31,40.61,86.23999786376953,1412.1600341796875,1220.9000244140625,0.11
2012-11-07,40.27,84.44000244140625,1394.530029296875,1228.219970703125,0.1
2012-11-14,36.99,86.31999969482422,1355.489990234375,1198.8599853515625,0.1
2012-11-21,37.54,87.37999725341797,1391.030029296875,1229.6600341796875,0.1
2012-11-28,39.19,86.48999786376953,1409.9300537109375,1250.8800048828125,0.1
2012-12-05,39.38,87.87999725341797,1409.280029296875,1257.4599609375,0.1
2012-12-12,41.7,86.7699966430664,1428.47998046875,1287.93994140625,0.07
2012-12-19,42.92,89.51000213623047,1435.81005859375,1305.0999755859375,0.05
2012-12-26,42.31,90.9800033569336,1419.8299560546875,1288.6600341796875,0.09
2013-01-02,44.04,93.12000274658203,1462.4200439453125,1328.06005859375,0.08
2013-01-09,45.46,93.0999984741211,1461.02001953125,1323.239990234375,0.06
2013-01-16,44.78,94.23999786376953,1472.6300048828125,1331.43994140625,0.08
2013-01-23,45.56,95.2300033569336,1494.81005859375,1354.0899658203125,0.08
2013-01-30,45.31,97.94000244140625,1501.9599609375,1357.7900390625,0.07
2013-02-06,46.94,96.62000274658203,1512.1199951171875,1376.780029296875,0.07
2013-02-13,47.95,97.01000213623047,1520.3299560546875,1376.1500244140625,0.1
2013-02-20,48.1,94.45999908447266,1511.949951171875,1366.1400146484375,0.12
2013-02-27,45.55,92.76000213623047,1515.989990234375,1363.6700439453125,0.11
2013-03-06,46.93,90.43000030517578,1541.4599609375,1399.489990234375,0.1
2013-03-13,46.97,92.5199966430664,1554.52001953125,1407.8399658203125,0.09
